request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-05f05cdd0c20461ea92fff12e1a9bcd0,prefill,111.33424925804138,111.34167742729187,2,0
cmpl-05f05cdd0c20461ea92fff12e1a9bcd0,decode,111.34167742729187,118.76352262496948,0,1024
cmpl-4e0a1e2c35e94f6aaaa6ddd2bd261cdb,prefill,117.21506690979004,117.2227394580841,2,0
cmpl-4e0a1e2c35e94f6aaaa6ddd2bd261cdb,decode,117.2227394580841,119.9511969089508,0,361
cmpl-010cbb1d856f43c3a53ad1c99235581e,prefill,113.68742489814758,113.70017957687378,455,0
cmpl-010cbb1d856f43c3a53ad1c99235581e,decode,113.70017957687378,120.59486770629883,0,932
cmpl-811ba493c10948138079a7319c19ec79,prefill,114.874516248703,115.0327217578888,6483,0
cmpl-811ba493c10948138079a7319c19ec79,decode,115.0327217578888,120.62081241607666,0,761
cmpl-c72d0e5f46a44a20a7859d5889df1e46,prefill,118.40658473968506,118.53958487510681,5429,0
cmpl-c72d0e5f46a44a20a7859d5889df1e46,decode,118.53958487510681,122.19997477531433,0,483
cmpl-382e0d41115a45cca825e14151c898e6,prefill,116.04058408737183,116.08420491218567,1868,0
cmpl-382e0d41115a45cca825e14151c898e6,decode,116.08420491218567,123.86470293998718,0,1024
cmpl-fa0bab39c6bb45d9a3638ac1d1ac66d3,prefill,120.7511146068573,120.7849280834198,1510,0
cmpl-fa0bab39c6bb45d9a3638ac1d1ac66d3,decode,120.7849280834198,126.26545405387878,0,688
cmpl-e3b21db156874322a82bbb8039513e52,prefill,119.57312083244324,119.59924244880676,881,0
cmpl-e3b21db156874322a82bbb8039513e52,decode,119.59924244880676,127.04637789726257,0,932
cmpl-bdf975c0b01b4f079f646948fce96a81,prefill,123.10955810546875,123.27882146835327,7168,0
cmpl-bdf975c0b01b4f079f646948fce96a81,decode,123.27882146835327,127.11099171638489,0,471
cmpl-4c2d9cbae1cf4612a39edca74a5249e5,prefill,124.28793096542358,124.46135807037354,7168,0
cmpl-4c2d9cbae1cf4612a39edca74a5249e5,decode,124.46135807037354,127.1332733631134,0,333
cmpl-5a87b09872fd47e09968b4093354906f,prefill,121.92907428741455,122.09856796264648,7168,0
cmpl-5a87b09872fd47e09968b4093354906f,decode,122.09856796264648,127.98937010765076,0,731
cmpl-4600aa24f622470bbd5f4927b62c78c5,prefill,128.98333597183228,129.08630299568176,4245,0
cmpl-4600aa24f622470bbd5f4927b62c78c5,decode,129.08630299568176,130.43038129806519,0,175
cmpl-2dd0a3c32e194576ab6993bda7a7eefd,prefill,125.45160603523254,125.5024790763855,2331,0
cmpl-2dd0a3c32e194576ab6993bda7a7eefd,decode,125.5024790763855,130.59618091583252,0,651
cmpl-93c209dc02794d04bd6f370c6e38e18d,prefill,127.80227184295654,127.85432887077332,2376,0
cmpl-93c209dc02794d04bd6f370c6e38e18d,decode,127.85432887077332,134.57808899879456,0,873
cmpl-b97dcd125df44bf295b74b1c6fd24031,prefill,126.63209438323975,126.80062317848206,7168,0
cmpl-b97dcd125df44bf295b74b1c6fd24031,decode,126.80062317848206,134.6746051311493,0,1024
cmpl-3b0f9f8a40404b24aa53c122bec9bc22,prefill,131.33471417427063,131.41054320335388,3690,0
cmpl-3b0f9f8a40404b24aa53c122bec9bc22,decode,131.41054320335388,137.90063905715942,0,834
cmpl-f90c6a3dc0e64f1b9b777247a76cec7e,prefill,136.03423261642456,136.08749961853027,2540,0
cmpl-f90c6a3dc0e64f1b9b777247a76cec7e,decode,136.08749961853027,138.11696124076843,0,264
cmpl-ae48621e707a4a4cbaff84c54bb6a6cb,prefill,130.15774846076965,130.26195526123047,4426,0
cmpl-ae48621e707a4a4cbaff84c54bb6a6cb,decode,130.26195526123047,138.1914529800415,0,1024
cmpl-14a7669b8fa449a8aae65c27bb6d0a4e,prefill,132.51015281677246,132.65608716011047,6179,0
cmpl-14a7669b8fa449a8aae65c27bb6d0a4e,decode,132.65608716011047,140.4918692111969,0,1024
cmpl-ac5d7fb51e304471b558b55499b6314e,prefill,138.38719582557678,138.46402716636658,3478,0
cmpl-ac5d7fb51e304471b558b55499b6314e,decode,138.46402716636658,140.54803919792175,0,286
cmpl-e55bc9a5ee454f58abfa1ea63bde0246,prefill,134.86024165153503,134.93790984153748,3694,0
cmpl-e55bc9a5ee454f58abfa1ea63bde0246,decode,134.93790984153748,140.7431640625,0,766
cmpl-f6497d91c9c2468c85897e03a56cd97e,prefill,133.6786184310913,133.7233738899231,2056,0
cmpl-f6497d91c9c2468c85897e03a56cd97e,decode,133.7233738899231,140.78325986862183,0,926
cmpl-c3e40636450d48578fe1d8e6c5b8430f,prefill,137.21073603630066,137.28948187828064,3711,0
cmpl-c3e40636450d48578fe1d8e6c5b8430f,decode,137.28948187828064,144.53681445121765,0,1024
cmpl-db8cab05465041de8b7d2719bd498cd4,prefill,149.91778540611267,150.01722955703735,4158,0
cmpl-db8cab05465041de8b7d2719bd498cd4,decode,150.01722955703735,153.13626432418823,0,388
cmpl-9380cc652ea3434394eb3376f46a4864,prefill,148.02189660072327,148.09295201301575,3305,0
cmpl-9380cc652ea3434394eb3376f46a4864,decode,148.09295201301575,153.32686686515808,0,676
cmpl-db3dcb6447a24239b3ca805791f2f8e1,prefill,148.96398258209229,148.99368357658386,1303,0
cmpl-db3dcb6447a24239b3ca805791f2f8e1,decode,148.99368357658386,154.45281457901,0,699
cmpl-b9ffc816af9d46ddaea80633749932ff,prefill,147.07387971878052,147.15452003479004,3864,0
cmpl-b9ffc816af9d46ddaea80633749932ff,decode,147.15452003479004,154.9839792251587,0,1024
cmpl-53d90ef441ca4fb0b6b7e8cc2c6204d4,prefill,150.86605191230774,151.00910186767578,6018,0
cmpl-53d90ef441ca4fb0b6b7e8cc2c6204d4,decode,151.00910186767578,157.43463826179504,0,823
cmpl-476f4f2f193b45a19beee9db74fa966a,prefill,154.6504783630371,154.69207572937012,1917,0
cmpl-476f4f2f193b45a19beee9db74fa966a,decode,154.69207572937012,159.0370738506317,0,546
cmpl-6c72302c8e8b4a999547b23968aca8b1,prefill,152.75121212005615,152.76262021064758,376,0
cmpl-6c72302c8e8b4a999547b23968aca8b1,decode,152.76262021064758,160.03591752052307,0,919
cmpl-58ce2f31bdae483885f635606192b0a1,prefill,151.81614780426025,151.98558402061462,7168,0
cmpl-58ce2f31bdae483885f635606192b0a1,decode,151.98558402061462,160.04893612861633,0,1024
cmpl-8b4110650f8a4e46846e460cb2692844,prefill,155.60571789741516,155.73927283287048,5627,0
cmpl-8b4110650f8a4e46846e460cb2692844,decode,155.73927283287048,161.6296625137329,0,721
cmpl-76ae0e43d60241f8b2cfdd6260b5133c,prefill,153.6995701789856,153.7268087863922,1012,0
cmpl-76ae0e43d60241f8b2cfdd6260b5133c,decode,153.7268087863922,161.99723529815674,0,1024
cmpl-9028306719c946589fbc37b699695381,prefill,157.49282503128052,157.57559466362,3672,0
cmpl-9028306719c946589fbc37b699695381,decode,157.57559466362,162.3821063041687,0,585
cmpl-b36f1f934c3a4a7598445cbbd6c8c0cb,prefill,158.44207572937012,158.53913402557373,4162,0
cmpl-b36f1f934c3a4a7598445cbbd6c8c0cb,decode,158.53913402557373,162.62946891784668,0,500
cmpl-ba05538095474894a5d2374c1b8576b1,prefill,156.53759145736694,156.56763577461243,1167,0
cmpl-ba05538095474894a5d2374c1b8576b1,decode,156.56763577461243,164.80567264556885,0,1024
cmpl-f82987ec7fcb4fd08cbc04a5fb214f2c,prefill,162.22101044654846,162.2490234375,846,0
cmpl-f82987ec7fcb4fd08cbc04a5fb214f2c,decode,162.2490234375,166.67838668823242,0,566
cmpl-c6864f14625f43138f06076248cf7634,prefill,159.3866093158722,159.50430941581726,4650,0
cmpl-c6864f14625f43138f06076248cf7634,decode,159.50430941581726,167.68797063827515,0,1024
cmpl-116c0e82a6ab4fa28b3cedd571c68049,prefill,160.33197951316833,160.40334248542786,2938,0
cmpl-116c0e82a6ab4fa28b3cedd571c68049,decode,160.40334248542786,168.54597425460815,0,1024
cmpl-fffe7df8235b428c927b43828e6f42bd,prefill,161.28560733795166,161.45862221717834,7168,0
cmpl-fffe7df8235b428c927b43828e6f42bd,decode,161.45862221717834,169.19092321395874,0,971
cmpl-e24e51caea464c6492c2c5fb524ae304,prefill,163.17187404632568,163.23708200454712,3156,0
cmpl-e24e51caea464c6492c2c5fb524ae304,decode,163.23708200454712,171.322936296463,0,1024
