request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-b5fcfe43b7614ba0939e02013f9191b9,decode,48.450026512145996,51.88022541999817,0,1024
cmpl-8041cf6c438644d49459d5ce9c1d3d5d,prefill,49.42733359336853,49.45046877861023,3359,0
cmpl-8041cf6c438644d49459d5ce9c1d3d5d,decode,49.45046877861023,52.907129764556885,0,1024
cmpl-522636d7cfd7457583c92c81bd3b712c,prefill,52.49846029281616,52.54851675033569,6913,0
cmpl-522636d7cfd7457583c92c81bd3b712c,decode,52.54851675033569,53.90608835220337,0,402
cmpl-021510676fb14826939376a6a4f94567,prefill,51.468055963516235,51.48969483375549,1957,0
cmpl-021510676fb14826939376a6a4f94567,decode,51.48969483375549,54.795841217041016,0,985
cmpl-f70e916969b64e79bd96a9b6513c4f69,prefill,54.53216814994812,54.55056071281433,1785,0
cmpl-f70e916969b64e79bd96a9b6513c4f69,decode,54.55056071281433,56.225602865219116,0,503
cmpl-3e7ed3a98d0f48ff90366af0c5799d10,prefill,53.52065443992615,53.56615114212036,5782,0
cmpl-3e7ed3a98d0f48ff90366af0c5799d10,decode,53.56615114212036,56.97648763656616,0,1024
cmpl-558baea81f2b4286b96ee646d44617ca,prefill,55.559879302978516,55.60033583641052,5797,0
cmpl-558baea81f2b4286b96ee646d44617ca,decode,55.60033583641052,59.01591968536377,0,1024
cmpl-9a2fb6f070f1484988a56e1a8cc48de5,prefill,57.604262590408325,57.65076780319214,6839,0
cmpl-9a2fb6f070f1484988a56e1a8cc48de5,decode,57.65076780319214,59.5450541973114,0,575
cmpl-f765c60f527f4aceb02cce9d0b3a1417,prefill,58.61521792411804,58.63260340690613,1766,0
cmpl-f765c60f527f4aceb02cce9d0b3a1417,decode,58.63260340690613,60.27466702461243,0,511
cmpl-b12ffa03c59b402c8f5ce37cbd4c62ed,prefill,59.63543939590454,59.63923096656799,2,0
cmpl-b12ffa03c59b402c8f5ce37cbd4c62ed,decode,59.63923096656799,62.37257957458496,0,839
cmpl-06177746d4ac4e7fa0e07a845c2006cb,prefill,60.6675226688385,60.696324586868286,4394,0
cmpl-06177746d4ac4e7fa0e07a845c2006cb,decode,60.696324586868286,62.6975679397583,0,608
cmpl-3bd30fd5247f43c0bf1256a2e8493467,prefill,61.68763971328735,61.728649854660034,5182,0
cmpl-3bd30fd5247f43c0bf1256a2e8493467,decode,61.728649854660034,64.48997259140015,0,842
cmpl-f718e08a865d4383b5a7bdb6d634c8a6,prefill,62.70814633369446,62.73797821998596,4507,0
cmpl-f718e08a865d4383b5a7bdb6d634c8a6,decode,62.73797821998596,65.29115581512451,0,796
cmpl-7b9fe4d2f1054231860a6ab57b8ff330,prefill,68.53057432174683,68.56886100769043,5429,0
cmpl-7b9fe4d2f1054231860a6ab57b8ff330,decode,68.56886100769043,70.15650200843811,0,483
cmpl-529e5527bed2489c937e2c242dfea479,prefill,67.70368504524231,67.72266054153442,2376,0
cmpl-529e5527bed2489c937e2c242dfea479,decode,67.72266054153442,70.60180997848511,0,873
